Date,Open,High,Low,Close,Adj Close,Volume,Daily Return %,Daily Return
2024-03-01,16.518562,17.156742,16.459505,17.027853,17.027853,126352717,3.083143678002971,0.0308314367800297
2024-03-02,17.023956,17.118004,16.35545,16.725027,16.725027,122345487,-1.7559314650484152,-0.0175593146504841
2024-03-03,16.735308,16.840128,15.833185,16.407639,16.407639,150026344,-1.957950221173104,-0.019579502211731
2024-03-04,16.406351,16.528259,15.167496,15.677303,15.677303,200446328,-4.443693786631778,-0.0444369378663177
2024-03-05,15.677804,17.354065,14.361609,15.565706,15.565706,463576509,-0.7150108522851771,-0.0071501085228517
2024-03-06,15.565416,16.312124,14.943723,16.206476,16.206476,182673531,4.118489348437572,0.0411848934843757
2024-03-07,16.206799,16.89576,15.919067,16.71953,16.71953,183197729,3.1636784043536217,0.0316367840435362
2024-03-08,16.719578,17.307156,16.003124,16.214642,16.214642,192613207,-3.020028376314266,-0.0302002837631426
2024-03-09,16.214642,17.70989,16.095261,16.723333,16.723333,166651438,3.1372323853958592,0.0313723238539585
2024-03-10,16.723362,17.321646,15.644488,16.054068,16.054068,136065027,-4.002149806958676,-0.0400214980695867
2024-03-11,16.054155,16.572962,15.51547,16.523432,16.523432,165874808,2.923087512235917,0.0292308751223591
2024-03-12,16.523432,18.458076,16.238903,17.953072,17.953072,545027951,8.652197679029387,0.0865219767902938
2024-03-13,17.953072,18.268169,16.987137,17.23493,17.23493,222204038,-4.000106499879243,-0.0400010649987924
2024-03-14,17.236422,17.740456,15.827707,16.533344,16.533344,217551631,-4.079025217646687,-0.0407902521764668
2024-03-15,16.534061,16.768026,14.232428,15.311112,15.311112,284768843,-7.396543414228371,-0.0739654341422837
2024-03-16,15.311112,16.041456,13.315212,13.751259,13.751259,237340857,-10.18771856675074,-0.1018771856675073
2024-03-17,13.751644,14.427711,13.108065,14.259199,14.259199,173846259,3.690867797333904,0.036908677973339
2024-03-18,14.194912,14.276272,12.820465,12.916205,12.916205,147630058,-9.008206602478412,-0.0900820660247841
2024-03-19,12.915736,14.873735,11.607227,13.635946,13.635946,393426207,5.57622113056507,0.0557622113056507
2024-03-20,13.63551,14.986943,12.56706,14.842716,14.842716,264699210,8.853398222728739,0.0885339822272873
2024-03-21,14.842716,15.324227,14.311482,14.791899,14.791899,182244966,-0.3423699543937819,-0.0034236995439378
2024-03-22,14.791949,14.841383,13.40255,13.771022,13.771022,131633672,-6.90190995114978,-0.0690190995114978
2024-03-23,13.771132,13.960341,13.34532,13.348276,13.348276,106896677,-3.0705972464718188,-0.0307059724647181
2024-03-24,13.348276,13.731023,13.119695,13.661238,13.661238,84510349,2.344587420877428,0.0234458742087742
2024-03-25,13.661238,14.563484,13.492475,14.079248,14.079248,122694641,3.059825178362304,0.030598251783623
2024-03-26,14.079248,14.751395,13.614234,13.880633,13.880633,116727667,-1.4106932415708582,-0.0141069324157085
2024-03-27,13.880633,14.334981,13.473523,13.951935,13.951935,163957952,0.5136797435678985,0.0051367974356789
2024-03-28,13.951935,14.454854,13.649927,14.158978,14.158978,141789522,1.4839733700020732,0.0148397337000207
2024-03-29,14.15901,15.510702,14.041645,15.251503,15.251503,255372346,7.715885503294364,0.0771588550329436
2024-03-30,15.251503,15.267842,14.397691,14.46557,14.46557,102000751,-5.153151135334007,-0.05153151135334
2024-03-31,14.46557,14.821051,14.194503,14.3131,14.3131,92218975,-1.0540199936815433,-0.0105401999368154
2024-04-01,14.313169,14.469969,12.81465,13.164426,13.164426,155306279,-8.025776821331458,-0.0802577682133145
2024-04-02,13.16437,13.221014,12.011404,12.040954,12.040954,141475321,-8.533761965061759,-0.0853376196506175
2024-04-03,12.040974,12.475522,11.637778,11.963085,11.963085,104872086,-0.6468662751036649,-0.0064686627510366
2024-04-04,11.963085,12.672862,11.620743,12.306374,12.306374,96683963,2.869569178853117,0.0286956917885311
2024-04-05,12.306374,12.310894,11.417936,11.844301,11.844301,90674819,-3.7547453051565,-0.037547453051565
2024-04-06,11.843704,12.182045,11.747387,12.033598,12.033598,54676777,1.603332876269104,0.016033328762691
2024-04-07,12.033598,12.325193,12.009279,12.22821,12.22821,53943563,1.6172386679362327,0.0161723866793623
2024-04-08,12.22821,12.844478,11.898378,12.482194,12.482194,105857049,2.0770333515698463,0.0207703335156984
2024-04-09,12.482194,12.524226,11.476891,11.559219,11.559219,92782238,-7.394333079585201,-0.073943330795852
2024-04-10,11.558875,11.645242,10.902289,11.433209,11.433209,85746849,-1.0871819273069456,-0.0108718192730694
2024-04-11,11.433209,11.434151,10.808511,10.889351,10.889351,80617004,-4.756827238966769,-0.0475682723896676
2024-04-12,10.889351,11.197298,7.872498,8.826229,8.826229,241859274,,-0.1894623472050813
2024-04-13,8.826089,10.273056,7.515461,10.016908,10.016908,438722897,13.49203480726289,0.1349203480726289
2024-04-14,10.01247,11.720112,9.371519,10.559032,10.559032,492126759,5.458812860363125,0.0545881286036312
2024-04-15,10.559389,10.621881,9.245519,9.744965,9.744965,202022020,-7.712794745983873,-0.0771279474598387
2024-04-16,9.744658,11.561309,9.646223,11.324315,11.324315,334245613,,0.1621049194338068
2024-04-17,11.32429,11.457249,9.913944,9.92526,9.92526,190905113,-12.354240309988528,-0.1235424030998852
2024-04-18,9.92526,10.179896,9.393719,10.179896,10.179896,139586364,2.5655348071486253,0.0256553480714862
2024-04-19,10.179896,11.704803,9.36082,10.708235,10.708235,252203486,5.190023552303489,0.0519002355230348
2024-04-20,10.708249,12.056408,10.655885,11.932771,11.932771,163051780,11.435314961390985,0.1143531496139098
2024-04-21,11.932771,12.400112,11.332585,11.510361,11.510361,143035369,-3.5399154144498457,-0.0353991541444984
2024-04-22,11.510361,11.793398,11.339534,11.455711,11.455711,115545584,-0.4747896264938932,-0.0047478962649389
2024-04-23,11.455711,12.156949,10.880916,12.033286,12.033286,156503188,5.041808404559084,0.0504180840455908
2024-04-24,12.033786,12.195467,10.885434,11.047101,11.047101,131852778,-8.19928989928855,-0.0819928989928855
2024-04-25,11.047326,11.113071,10.569738,10.676009,10.676009,86950479,-3.3611482090779203,-0.0336114820907792
2024-04-26,10.676009,10.697804,10.248533,10.531805,10.531805,65311462,-1.3507294720339802,-0.0135072947203398
2024-04-27,10.531805,10.571924,9.940715,10.287915,10.287915,73456943,-2.315747395626869,-0.0231574739562686
2024-04-28,10.287915,10.529049,9.992433,10.03604,10.03604,46361556,-2.448260896401264,-0.0244826089640126
2024-04-29,10.03604,10.16397,9.38218,9.777917,9.777917,104400631,-2.571960653803686,-0.0257196065380368
2024-04-30,9.777917,9.872822,8.977999,9.469896,9.469896,116201284,-3.150169918603319,-0.0315016991860331
2024-05-01,9.469862,9.967245,8.980353,9.692277,9.692277,119683514,2.3486614694068573,0.0234866146940685
2024-05-02,9.692277,10.346542,9.361244,10.146627,10.146627,88194789,4.6877529397890685,0.0468775293978906
2024-05-03,10.146627,10.451275,9.755094,10.124777,10.124777,105438430,-0.2153424975610179,-0.0021534249756101
2024-05-04,10.124686,10.284486,9.98415,10.032321,10.032321,66204812,-0.9122752053742794,-0.0091227520537427
2024-05-05,10.032321,10.785743,9.817596,10.237244,10.237244,91909584,2.0426280219701987,0.0204262802197019
2024-05-06,10.237241,10.676645,10.076393,10.212642,10.212642,98739747,-0.2402893513984723,-0.0024028935139847
2024-05-07,10.212642,10.321355,9.45455,9.464683,9.464683,111537814,-7.32385410161249,-0.0732385410161249
2024-05-08,9.464683,9.660623,9.323872,9.387117,9.387117,78162877,-0.81953088127728,-0.0081953088127728
2024-05-09,9.387117,9.702484,9.270561,9.632287,9.632287,56631651,2.6117710048782805,0.0261177100487828
2024-05-10,9.63237,9.885608,9.008619,9.121401,9.121401,84291588,-5.304706941282357,-0.0530470694128235
2024-05-11,9.121401,9.303282,9.020505,9.045788,9.045788,42172934,-0.828962568359845,-0.0082896256835984
2024-05-12,9.045785,9.265178,8.9941,9.139574,9.139574,35253462,1.03682543858824,0.0103682543858824
2024-05-13,9.139574,9.369491,8.647639,8.930693,8.930693,85151183,-2.2854566306919764,-0.0228545663069197
2024-05-14,8.930676,8.978286,8.150054,8.152112,8.152112,64454288,-8.717861895336918,-0.0871786189533691
2024-05-15,8.152112,9.138845,8.019,8.920191,8.920191,104444839,9.421840622405584,0.0942184062240558
2024-05-16,8.91991,9.219356,8.64137,8.967909,8.967909,76820424,0.5381108105350928,0.0053811081053509
2024-05-17,8.967909,9.828196,8.904489,9.474204,9.474204,113728581,5.645630436258883,0.0564563043625888
2024-05-18,9.474276,9.648487,9.34947,9.515205,9.515205,62600112,0.4320013476491524,0.0043200134764915
2024-05-19,9.515205,9.58745,8.734131,8.827063,8.827063,50141028,-7.232024953745075,-0.0723202495374507
2024-05-20,8.827063,9.636308,8.548439,9.618235,9.618235,121085811,8.96302654688201,0.0896302654688201
2024-05-21,9.618055,9.980732,9.463852,9.743186,9.743186,128006053,1.3010010859783987,0.0130100108597839
2024-05-22,9.743187,10.29505,9.323303,9.562321,9.562321,138810695,-1.8563330458503973,-0.0185633304585039
2024-05-23,9.562321,9.781004,8.784339,9.201689,9.201689,125476227,-3.7713856290747896,-0.0377138562907478
2024-05-24,9.201689,9.331629,8.708106,8.88256,8.88256,65257215,-3.468156769914743,-0.0346815676991474
2024-05-25,8.88256,9.143815,8.854671,9.102417,9.102417,50829328,2.475153559334258,0.0247515355933425
2024-05-26,9.102417,9.413314,9.039397,9.311774,9.311774,70071304,2.300015479405073,0.0230001547940507
2024-05-27,9.311774,10.221768,9.088725,10.146238,10.146238,98246652,8.961385875559271,0.0896138587555927
2024-05-28,10.146264,11.827382,9.602714,11.670745,11.670745,374811451,,0.1502504764315219
2024-05-29,11.670745,11.907134,10.679148,10.733634,10.733634,224804097,-8.029573090663876,-0.0802957309066387
2024-05-30,10.733638,11.53911,10.530496,10.683335,10.683335,159854271,-0.4686481880607446,-0.0046864818806074
2024-05-31,10.683335,10.996022,10.381855,10.547819,10.547819,95524191,-1.2684803013291177,-0.0126848030132911
2024-06-01,10.5478,11.468864,10.46556,11.375483,11.375483,98325467,7.846972828457105,0.078469728284571
2024-06-02,11.375492,11.83462,10.96822,11.770589,11.770589,103226764,3.4732299930411785,0.0347322999304117
2024-06-03,11.769769,11.770445,10.727848,10.76451,10.76451,93971837,-8.541025741456783,-0.0854102574145678
2024-06-04,10.76451,10.941173,10.560828,10.734462,10.734462,74043947,-0.27913950565329,-0.0027913950565329
2024-06-05,10.734462,11.079238,10.36489,10.468363,10.468363,125106784,-2.4789225580192142,-0.0247892255801921
2024-06-06,10.468363,10.527226,10.209706,10.430121,10.430121,69699245,-0.3653102209008259,-0.0036531022090082
2024-06-07,10.430123,11.00544,9.086204,9.661698,9.661698,160154942,-7.367362781819549,-0.0736736278181954
