Date,Open,High,Low,Close,Adj Close,Volume
2023-06-21,0.287246,0.304504,0.286276,0.303596,0.303596,5633710
2023-06-22,0.303516,0.313958,0.292816,0.293078,0.293078,5023069
2023-06-23,0.293110,0.304336,0.287875,0.299425,0.299425,4890724
2023-06-24,0.299434,0.332831,0.297708,0.321025,0.321025,8323893
2023-06-25,0.320994,0.335881,0.311189,0.313894,0.313894,7710762
2023-06-26,0.313931,0.314033,0.293944,0.300782,0.300782,4160878
2023-06-27,0.300760,0.309216,0.295502,0.297517,0.297517,3411769
2023-06-28,0.297575,0.297693,0.265579,0.270084,0.270084,3668297
2023-06-29,0.270085,0.276545,0.267348,0.269016,0.269016,2554955
2023-06-30,0.268939,0.279953,0.255613,0.264209,0.264209,5852403
2023-07-01,0.264201,0.270441,0.261687,0.268969,0.268969,2863381
2023-07-02,0.269648,0.271054,0.262723,0.268297,0.268297,2673683
2023-07-03,0.268372,0.278658,0.267360,0.277503,0.277503,3512340
2023-07-04,0.277489,0.281487,0.272846,0.277795,0.277795,3611568
2023-07-05,0.277827,0.283729,0.256990,0.258416,0.258416,4135552
2023-07-06,0.258404,0.267249,0.247560,0.247746,0.247746,4105665
2023-07-07,0.247749,0.249873,0.243291,0.248969,0.248969,2531548
2023-07-08,0.248964,0.252199,0.246229,0.249753,0.249753,1274077
2023-07-09,0.249764,0.251728,0.244137,0.244157,0.244157,1132912
2023-07-10,0.244126,0.244896,0.230980,0.241205,0.241205,3528838
2023-07-11,0.241193,0.244966,0.239343,0.242665,0.242665,1778969
2023-07-12,0.242661,0.246913,0.240941,0.245324,0.245324,1362782
2023-07-13,0.245321,0.282978,0.240819,0.282175,0.282175,11482600
2023-07-14,0.282188,0.282817,0.262705,0.268341,0.268341,5611713
2023-07-15,0.268322,0.273640,0.263166,0.265125,0.265125,2004991
2023-07-16,0.265118,0.266296,0.253775,0.254735,0.254735,1969390
2023-07-17,0.254695,0.266039,0.252846,0.264984,0.264984,3831032
2023-07-18,0.265024,0.266947,0.251715,0.254237,0.254237,2412186
2023-07-19,0.254255,0.260177,0.249490,0.249708,0.249708,2583493
2023-07-20,0.249725,0.255830,0.243491,0.245779,0.245779,2690674
2023-07-21,0.245775,0.253325,0.244008,0.253243,0.253243,2225873
2023-07-22,0.253230,0.256632,0.248586,0.250014,0.250014,2544440
2023-07-23,0.250051,0.260080,0.249603,0.253885,0.253885,2700799
2023-07-24,0.253890,0.253903,0.238876,0.242611,0.242611,2319778
2023-07-25,0.242630,0.243907,0.239758,0.240710,0.240710,1317568
2023-07-26,0.240725,0.242954,0.237680,0.240177,0.240177,1556844
2023-07-27,0.240173,0.245794,0.236620,0.238757,0.238757,1499330
2023-07-28,0.238773,0.248074,0.238059,0.247955,0.247955,1777161
2023-07-29,0.247940,0.251811,0.243472,0.245134,0.245134,1564651
2023-07-30,0.245124,0.246107,0.234686,0.238081,0.238081,1364782
2023-07-31,0.238083,0.240016,0.231896,0.234398,0.234398,1702730
2023-08-01,0.234395,0.236671,0.224351,0.236671,0.236671,2655296
2023-08-02,0.236673,0.237517,0.225776,0.226773,0.226773,1316074
2023-08-03,0.226781,0.227730,0.221693,0.224237,0.224237,1285771
2023-08-04,0.224223,0.225578,0.220029,0.222696,0.222696,1181412
2023-08-05,0.222695,0.236889,0.219455,0.236889,0.236889,3298742
2023-08-06,0.236899,0.248701,0.235306,0.236327,0.236327,6948584
2023-08-07,0.236312,0.252558,0.235718,0.244779,0.244779,4354254
2023-08-08,0.244777,0.248468,0.240528,0.242880,0.242880,2636947
2023-08-09,0.242904,0.244251,0.239783,0.242810,0.242810,1275445
2023-08-10,0.242801,0.252339,0.241139,0.247883,0.247883,2598209
2023-08-11,0.247909,0.257026,0.247909,0.252448,0.252448,2378875
2023-08-12,0.252439,0.254837,0.246601,0.247465,0.247465,871850
2023-08-13,0.247479,0.253896,0.244160,0.251502,0.251502,1372052
2023-08-14,0.251499,0.258459,0.249597,0.255247,0.255247,1933541
2023-08-15,0.255255,0.255907,0.226304,0.233067,0.233067,2486462
2023-08-16,0.233066,0.233285,0.211241,0.213782,0.213782,2592184
2023-08-17,0.213758,0.220687,0.171460,0.189869,0.189869,3094655
2023-08-18,0.189834,0.193568,0.188297,0.193121,0.193121,1962208
2023-08-19,0.193174,0.204225,0.192892,0.202376,0.202376,1641548
2023-08-20,0.202366,0.205423,0.199567,0.200713,0.200713,1254288
2023-08-21,0.200690,0.200965,0.188378,0.191127,0.191127,1253724
2023-08-22,0.191170,0.193767,0.183459,0.190389,0.190389,1247373
2023-08-23,0.190391,0.202990,0.190388,0.201416,0.201416,3227570
2023-08-24,0.201426,0.202829,0.194567,0.196393,0.196393,1311551
2023-08-25,0.196403,0.197196,0.190471,0.197194,0.197194,1110843
2023-08-26,0.197219,0.199666,0.194748,0.195208,0.195208,483727
2023-08-27,0.195190,0.195923,0.193536,0.194854,0.194854,411624
2023-08-28,0.194889,0.199534,0.187436,0.198290,0.198290,1222829
2023-08-29,0.198272,0.209274,0.192145,0.208039,0.208039,2113737
2023-08-30,0.208037,0.208869,0.202556,0.202696,0.202696,911771
2023-08-31,0.202696,0.205555,0.193926,0.194503,0.194503,1411507
2023-09-01,0.194498,0.195764,0.184966,0.186695,0.186695,1499966
2023-09-02,0.186696,0.189749,0.184242,0.186978,0.186978,816370
2023-09-03,0.186985,0.190610,0.186118,0.188690,0.188690,747459
2023-09-04,0.188671,0.197337,0.188417,0.190558,0.190558,2028499
2023-09-05,0.190555,0.197010,0.188452,0.196146,0.196146,1294699
