Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Daily Return %,Daily Return
2022-12-28,0.0049250000156462,0.0049459999427199,0.0046009998768568,0.0046979999169707,1902234,0.0,0.0,-4.609139044758268,-0.0460913904475826
2022-12-29,0.0046970001421868,0.004838999826461,0.0045309998095035,0.0045889997854828,1346621,0.0,0.0,-2.299347528946805,-0.022993475289468
2022-12-30,0.0045889997854828,0.0050550000742077,0.0042539997957646,0.0048050000332295,1850994,0.0,0.0,4.706913441792087,0.0470691344179208
2022-12-31,0.0048070000484585,0.005386000033468,0.004761999938637,0.0052800001576542,1604695,0.0,0.0,9.839819106042684,0.0983981910604268
2023-01-01,0.0052780001424252,0.0053719999268651,0.0051420000381767,0.0051899999380111,1351193,0.0,0.0,-1.6673020469769133,-0.0166730204697691
2023-01-02,0.0051899999380111,0.0053110001608729,0.0051580001600086,0.0051629999652504,1354922,0.0,0.0,-0.5202306952444157,-0.0052023069524441
2023-01-03,0.0051649999804794,0.0051989997737109,0.0048310002312064,0.0049780001863837,1471210,0.0,0.0,-3.620518776426853,-0.0362051877642685
2023-01-04,0.0049780001863837,0.005032000131905,0.0048919999971985,0.0049540000036358,1424280,0.0,0.0,-0.4821249869284345,-0.0048212498692843
2023-01-05,0.0049540000036358,0.0050130002200603,0.004505000077188,0.0045630000531673,1403123,0.0,0.0,-7.892611025061378,-0.0789261102506137
2023-01-06,0.0045659998431801,0.0047269999049603,0.0044499998912215,0.0045130001381039,1357541,0.0,0.0,-1.160746975393817,-0.0116074697539381
2023-01-07,0.0045130001381039,0.0045480001717805,0.004329000134021,0.0043979999609291,1300515,0.0,0.0,-2.548197953814309,-0.025481979538143
2023-01-08,0.0043970001861453,0.0050010001286864,0.0043529998511075,0.0047940001823008,1403118,0.0,0.0,9.028882859873969,0.0902888285987396
2023-01-09,0.0047940001823008,0.005038000177592,0.0046720001846551,0.0048710000701248,1742620,0.0,0.0,1.6061719836448904,0.0160617198364489
2023-01-10,0.0048719998449087,0.0048929997719824,0.0045810001902282,0.0046830000355839,1311216,0.0,0.0,-3.879306554623713,-0.0387930655462371
2023-01-11,0.0046830000355839,0.0050010001286864,0.0045989998616278,0.0049959998577833,1504425,0.0,0.0,6.683745885566148,0.0668374588556614
2023-01-12,0.0049850000068545,0.0055590001866221,0.0048000002279877,0.0054950001649558,1771009,0.0,0.0,10.230695233701834,0.1023069523370183
2023-01-13,0.0055040000006556,0.0063689998351037,0.0054859998635947,0.0059679998084902,2465507,0.0,0.0,8.430229065758203,0.084302290657582
2023-01-14,0.0059690000489354,0.0064429999329149,0.0058490000665187,0.0061690001748502,2087417,0.0,0.0,3.350647081171844,0.0335064708117184
2023-01-15,0.0061650001443922,0.0061789997853338,0.005555999930948,0.0060760001651942,1885287,0.0,0.0,-1.4436330432036704,-0.0144363304320367
2023-01-16,0.0060729999095201,0.0068620000965893,0.0059449998661875,0.006620000116527,2296178,0.0,0.0,9.007084063173073,0.0900708406317307
2023-01-17,0.006620000116527,0.0066979997791349,0.0063220001757144,0.0064579998143017,1881255,0.0,0.0,-2.4471344316273087,-0.024471344316273
2023-01-18,0.0064579998143017,0.0066940002143383,0.005913000088185,0.0059389998205006,2118259,0.0,0.0,-8.036543956717638,-0.0803654395671763
2023-01-19,0.0059389998205006,0.0062839998863637,0.0058949999511241,0.0061980001628398,1784770,0.0,0.0,4.361009432011885,0.0436100943201188
2023-01-20,0.0061989999376237,0.00643299985677,0.0060569997876882,0.0064090001396834,1892419,0.0,0.0,3.3876464618936653,0.0338764646189366
2023-01-21,0.0064090001396834,0.0064750001765787,0.0061550000682473,0.0061599998734891,1755747,0.0,0.0,-3.8851655604207966,-0.0388516556042079
2023-01-22,0.0061590000987052,0.0061969999223947,0.0057919998653233,0.0059630000032484,1835261,0.0,0.0,-3.182336293483816,-0.0318233629348381
2023-01-23,0.0059639997780323,0.0064360001124441,0.005814999807626,0.006434999871999,1999028,0.0,0.0,7.897386175324386,0.0789738617532438
2023-01-24,0.006434999871999,0.0064779999665915,0.0059259999543428,0.0059259999543428,1825288,0.0,0.0,-7.909866787582116,-0.0790986678758211
2023-01-25,0.0059259999543428,0.0062830001115798,0.005917000118643,0.006258999928832,1779012,0.0,0.0,5.619304371495407,0.056193043714954
2023-01-26,0.006258999928832,0.0062799998559057,0.0059690000489354,0.0061440002173185,1822067,0.0,0.0,-1.83734962168246,-0.0183734962168246
2023-01-27,0.0061429999768733,0.0062049999833106,0.0059609999880194,0.0060760001651942,1984039,0.0,0.0,-1.0906692484345677,-0.0109066924843456
2023-01-28,0.0060760001651942,0.0061160000041127,0.0056679998524487,0.0057689999230206,1869150,0.0,0.0,-5.052670076150129,-0.0505267007615012
2023-01-29,0.0057680001482367,0.0059940000064671,0.0056739998981356,0.005911000072956,1668574,0.0,0.0,2.479194192861029,0.0247919419286102
2023-01-30,0.005911000072956,0.0059659997932612,0.0053449999541044,0.0055979997850954,2046779,0.0,0.0,-5.295217120578942,-0.0529521712057894
2023-01-31,0.0055970000103116,0.0057359999045729,0.0053960001096129,0.0054279998876154,1754203,0.0,0.0,-3.019476905214292,-0.0301947690521429
2023-02-01,0.0054299999028444,0.0058220000937581,0.0051830001175403,0.0056790001690387,1864547,0.0,0.0,4.585640343453144,0.0458564034345314
2023-02-02,0.0056790001690387,0.0060220002196729,0.0056210001930594,0.0058349999599158,2011549,0.0,0.0,2.74695872924242,0.0274695872924241
2023-02-03,0.0058349999599158,0.005836000200361,0.0054819998331367,0.0055849999189376,1629268,0.0,0.0,-4.2844908773882455,-0.0428449087738824
